,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
0,53,86,27.54,ziro,286.46,1.65
1,0,18,18.44,kidal,296.81,0.99
2,100,82,-26.65,luderitz,289.15,4.6
3,20,49,-42.78,new norfolk,286.55,6.2
4,88,90,15.34,vaini,293.69,1.34
5,0,33,13.93,edd,302.24,0.81
6,20,55,-42.88,hobart,286.55,6.2
7,32,83,28.66,los llanos de aridane,293.23,7.2
8,6,49,25.33,mangrol,294.32,2.05
9,99,61,69.22,ilulissat,265.52,2.19
10,89,72,-0.6,hithadhoo,300.8,2.44
11,75,70,-53.16,punta arenas,279.7,19.5
12,98,45,-18.06,opuwo,295.48,3.18
13,81,77,-34.53,bredasdorp,290.63,6.7
14,100,96,-30.74,port shepstone,290.93,4.62
15,100,91,-23.12,rikitea,297.65,3.09
16,27,97,-42.48,castro,277.15,1.66
17,69,73,-17.91,rundu,295.15,1.5
18,51,88,-33.59,port alfred,292.04,4.02
19,66,68,-33.64,busselton,287.7,0.28
20,100,64,-21.21,avarua,296.15,3.1
21,75,86,-54.81,ushuaia,277.15,7.2
22,90,58,-34.58,flinders,288.67,6.2
23,0,26,-23.58,bluff,302.68,4.3
24,1,86,11.74,el nispero,296.8,3.29
25,51,51,-16.26,pocone,301.65,2.16
26,75,95,71.97,saskylakh,247.47,1.95
27,0,78,27.15,minab,295.57,1.32
28,20,66,35.73,hasaki,282.56,2.6
29,90,98,49.72,geraldton,273.15,1.0
30,67,72,38.52,ribeira grande,288.17,4.33
31,5,77,50.68,severo-kurilsk,275.74,1.58
32,5,80,47.66,torbay,277.27,5.7
33,3,73,-9.8,atuona,300.35,7.41
34,67,91,-34.0,kruisfontein,285.51,4.46
35,79,82,69.7,pevek,261.12,2.27
36,16,70,3.07,butaritari,302.3,4.21
37,62,62,46.84,balkhash,274.19,3.46
38,40,74,21.39,nanakuli,301.27,4.6
39,90,80,59.7,nikolskoye,273.95,6.0
40,99,71,53.87,shirokiy,279.26,2.68
41,91,84,68.75,cherskiy,261.99,1.53
42,50,30,-46.43,mar del plata,287.38,10.33
43,40,58,2.82,boa vista,304.15,2.6
44,0,40,-8.93,airai,300.0,2.48
45,75,56,47.38,cap-aux-meules,279.15,6.7
46,75,72,38.73,praia da vitoria,289.15,5.76
47,1,30,-13.71,pisco,293.02,9.3
48,99,92,29.7,tiznit,287.27,2.84
49,99,83,2.04,mogadishu,300.01,6.7
50,83,77,-33.93,cape town,292.08,2.6
51,16,36,-28.65,byron bay,300.59,7.7
